Marca temporal,Grado de estudios,Sexo,Edad (Años),Peso (kg),Altura (m),¿Tienes alguna enfermedad crónica o cardiovascular?,Días por semana de actividad física,Tiempo de ejercicio por día ,¿Fumas?,Número de veces promedio que te lavas las manos al día,¿Has tenido algún familiar con Covid-19 recientemente?,¿Usas cubrebocas en los lugares públicos?
2021/03/03 8:55:59 p. m. GMT-6,6° Semestre,Femenino,17 - 18,42,1.5,No,4-5,Menos de 30 min,No,7 o más,No,Sí
2021/03/03 8:58:07 p. m. GMT-6,6° Semestre,Femenino,17 - 18,60,1.65,No,1-3,30 min - 1h,No,7 o más,No,Sí
2021/03/03 9:01:04 p. m. GMT-6,6° Semestre,Femenino,18 o mas,60,1.6,No,1-3,30 min - 1h,No,7 o más,No,Sí
2021/03/03 9:02:05 p. m. GMT-6,6° Semestre,Masculino,18 o mas,70,1.67,No,0,Menos de 30 min,Sí,Entre 3 y 5,No,Sí
2021/03/03 9:08:50 p. m. GMT-6,6° Semestre,Masculino,18 o mas,72,1.9,No,0,Nunca hago ejercicio,No,7 o más,No,Sí
2021/03/03 9:16:57 p. m. GMT-6,2° Semestre,Masculino,15 - 16,45,1.67,No,1-3,Menos de 30 min,No,7 o más,No,Sí
2021/03/03 9:45:05 p. m. GMT-6,4° Semestre,Femenino,17 - 18,70,1.69,No,1-3,Menos de 30 min,No,7 o más,No,Sí
2021/03/03 9:45:22 p. m. GMT-6,2° Semestre,Masculino,15 - 16,78,1.85,No,6-7,1h - 1h30,No,Menos de 3,No,Sí
2021/03/03 9:57:57 p. m. GMT-6,4° Semestre,Femenino,17 - 18,60,1.6,No,0,Nunca hago ejercicio,No,Menos de 3,No,Sí
2021/03/03 10:02:42 p. m. GMT-6,4° Semestre,Masculino,17 - 18,62,1.79,No,0,Nunca hago ejercicio,No,7 o más,Sí,Sí
2021/03/03 10:02:49 p. m. GMT-6,4° Semestre,Masculino,17 - 18,62,1.79,No,0,Nunca hago ejercicio,No,7 o más,Sí,Sí
2021/03/03 10:05:57 p. m. GMT-6,2° Semestre,Masculino,15 - 16,64,1.73,No,0,Nunca hago ejercicio,No,7 o más,No,Sí
2021/03/03 10:10:40 p. m. GMT-6,6° Semestre,Femenino,17 - 18,45,1.6,No,6-7,30 min - 1h,No,7 o más,No,Sí
2021/03/03 10:45:34 p. m. GMT-6,6° Semestre,Femenino,17 - 18,69,1.66,,4-5,Menos de 30 min,No,7 o más,Sí,Sí
2021/03/03 11:07:18 p. m. GMT-6,4° Semestre,Masculino,15 - 16,62,1.8,No,1-3,Menos de 30 min,No,Entre 3 y 5,No,Sí
2021/03/03 11:07:32 p. m. GMT-6,4° Semestre,Masculino,15 - 16,62,1.8,No,1-3,Menos de 30 min,No,Entre 3 y 5,No,Sí
2021/03/03 11:07:44 p. m. GMT-6,4° Semestre,Masculino,15 - 16,62,1.8,No,1-3,Menos de 30 min,No,Entre 3 y 5,No,Sí
2021/03/03 11:54:56 p. m. GMT-6,4° Semestre,Femenino,15 - 16,52,1.6,No,1-3,30 min - 1h,No,7 o más,No,Sí
2021/03/04 7:51:32 a. m. GMT-6,6° Semestre,Femenino,18 o mas,60,1.6,No,1-3,30 min - 1h,No,7 o más,No,Sí
2021/03/04 8:15:13 a. m. GMT-6,4° Semestre,Masculino,15 - 16,50,1.7,No,1-3,30 min - 1h,No,Entre 3 y 5,Sí,Sí
2021/03/04 9:12:12 a. m. GMT-6,6° Semestre,Femenino,17 - 18,69,1.66,,4-5,Menos de 30 min,No,7 o más,Sí,Sí
